2026-07-02 21:28:38,781 | INFO | rag_app_2026-07-02_21-28-38 | session_log_file=logs\session_2026-07-02_21-28-38.log
2026-07-02 21:28:38,781 | INFO | rag_app_2026-07-02_21-28-38 | application_start=true
2026-07-02 21:28:49,764 | INFO | rag_app_2026-07-02_21-28-38 | USER: when is arx linus available for download
2026-07-02 21:28:49,766 | INFO | rag_app_2026-07-02_21-28-38 | route=document
2026-07-02 21:28:51,421 | INFO | rag_app_2026-07-02_21-28-38 | fuzzy_corrected_question=when is arx linus available for download
2026-07-02 21:28:51,421 | INFO | rag_app_2026-07-02_21-28-38 | raw_query_variants=['when is arx linus available for download', 'when is arx linux available for download', 'arx linux download date', 'is there a release schedule for arx linux']
2026-07-02 21:28:51,422 | INFO | rag_app_2026-07-02_21-28-38 | filtered_query_variants=['when is arx linux available for download', 'is there a release schedule for arx linux', 'arx linux download date', 'release date linux iso', 'linux iso available download release']
2026-07-02 21:28:51,517 | INFO | rag_app_2026-07-02_21-28-38 | multi_query_retrieval_time_seconds=0.0947
2026-07-02 21:28:51,517 | INFO | rag_app_2026-07-02_21-28-38 | normalized_question=when is arx linux available for download
2026-07-02 21:28:54,324 | INFO | rag_app_2026-07-02_21-28-38 | relevance=True
2026-07-02 21:28:57,049 | INFO | rag_app_2026-07-02_21-28-38 | retrieved_sources=[{'source': 'data\\2023_09_25T024112-9to5Linux_Weekly_Roundup_September_24th_2023.pdf', 'chunk_index': 2, 'filename': '2023_09_25T024112-9to5Linux_Weekly_Roundup_September_24th_2023.pdf'}, {'chunk_index': 0, 'filename': '2023_07_10T103011-9to5Linux_Weekly_Roundup_July_9th_2023.pdf', 'source': 'data\\2023_07_10T103011-9to5Linux_Weekly_Roundup_July_9th_2023.pdf'}, {'filename': '2023_10_14T082419-Arch_Linuxs_October_2023_ISO_Release_Brings_Linux_65_Installer_Improvements.pdf', 'source': 'data\\2023_10_14T082419-Arch_Linuxs_October_2023_ISO_Release_Brings_Linux_65_Installer_Improvements.pdf', 'chunk_index': 1}, {'chunk_index': 2, 'filename': '2023_08_28T065006-9to5Linux_Weekly_Roundup_August_27th_2023.pdf', 'source': 'data\\2023_08_28T065006-9to5Linux_Weekly_Roundup_August_27th_2023.pdf'}, {'filename': '2023_10_09T103945-9to5Linux_Weekly_Roundup_October_8th_2023.pdf', 'source': 'data\\2023_10_09T103945-9to5Linux_Weekly_Roundup_October_8th_2023.pdf', 'chunk_index': 3}, {'source': 'data\\2023_10_23T095713-9to5Linux_Weekly_Roundup_October_22nd_2023.pdf', 'filename': '2023_10_23T095713-9to5Linux_Weekly_Roundup_October_22nd_2023.pdf', 'chunk_index': 2}, {'chunk_index': 0, 'filename': '2023_07_17T122255-9to5Linux_Weekly_Roundup_July_16th_2023.pdf', 'source': 'data\\2023_07_17T122255-9to5Linux_Weekly_Roundup_July_16th_2023.pdf'}, {'filename': '2023_11_01T122628-Ubuntu_2404_LTS_Noble_Numbat_Daily_Build_ISOs_Are_Now_Available_for_Download.pdf', 'chunk_index': 0, 'source': 'data\\2023_11_01T122628-Ubuntu_2404_LTS_Noble_Numbat_Daily_Build_ISOs_Are_Now_Available_for_Download.pdf'}]
2026-07-02 21:28:57,051 | INFO | rag_app_2026-07-02_21-28-38 | ASSISTANT: I could not find that in the provided documents.
2026-07-02 21:37:38,852 | INFO | rag_app_2026-07-02_21-28-38 | USER: exit
2026-07-02 21:37:38,853 | INFO | rag_app_2026-07-02_21-28-38 | route=control
2026-07-02 21:37:38,854 | INFO | rag_app_2026-07-02_21-28-38 | ASSISTANT: Goodbye.
2026-07-02 21:37:38,854 | INFO | rag_app_2026-07-02_21-28-38 | application_exit=true
