2026-07-01 23:10:44,683 | INFO | rag_app | application_start=true
2026-07-01 23:11:07,749 | INFO | rag_app | user_question=help
2026-07-01 23:11:07,750 | INFO | rag_app | route=control
2026-07-01 23:11:34,839 | INFO | rag_app | user_question=what files do you have
2026-07-01 23:11:34,839 | INFO | rag_app | route=meta
2026-07-01 23:11:39,709 | INFO | rag_app | user_question=who wrote the report
2026-07-01 23:11:39,710 | INFO | rag_app | route=document
2026-07-01 23:11:54,667 | INFO | rag_app | rewritten_question=Who wrote the report?
2026-07-01 23:11:54,770 | INFO | rag_app | retrieval_time_seconds=0.1036
2026-07-01 23:11:55,498 | INFO | rag_app | relevance=False
2026-07-01 23:12:09,005 | INFO | rag_app | user_question=what is the 50th document about
2026-07-01 23:12:09,009 | INFO | rag_app | route=document
2026-07-01 23:12:09,960 | INFO | rag_app | rewritten_question=What is the content of the 50th document?
2026-07-01 23:12:09,977 | INFO | rag_app | retrieval_time_seconds=0.0169
2026-07-01 23:12:10,995 | INFO | rag_app | relevance=False
2026-07-01 23:12:19,846 | INFO | rag_app | user_question=what is the 7th document about
2026-07-01 23:12:19,847 | INFO | rag_app | route=document
2026-07-01 23:12:20,672 | INFO | rag_app | rewritten_question=What is the 7th document about?
2026-07-01 23:12:20,688 | INFO | rag_app | retrieval_time_seconds=0.0161
2026-07-01 23:12:21,735 | INFO | rag_app | relevance=False
2026-07-01 23:12:30,461 | INFO | rag_app | user_question=what is the second document about
2026-07-01 23:12:30,461 | INFO | rag_app | route=document
2026-07-01 23:12:31,388 | INFO | rag_app | rewritten_question=What is the second document about?
2026-07-01 23:12:31,401 | INFO | rag_app | retrieval_time_seconds=0.0126
2026-07-01 23:12:32,157 | INFO | rag_app | relevance=False
2026-07-01 23:12:39,957 | INFO | rag_app | user_question=what happened 2023
2026-07-01 23:12:39,957 | INFO | rag_app | route=document
2026-07-01 23:12:40,859 | INFO | rag_app | rewritten_question=What happened in 2023?
