2026-07-02 13:58:12,050 | INFO | rag_app_2026-07-02_13-58-12 | session_log_file=logs\session_2026-07-02_13-58-12.log
2026-07-02 13:58:12,050 | INFO | rag_app_2026-07-02_13-58-12 | application_start=true
2026-07-02 13:58:21,200 | INFO | rag_app_2026-07-02_13-58-12 | USER: what happed in 2023
2026-07-02 13:58:21,202 | INFO | rag_app_2026-07-02_13-58-12 | route=document
2026-07-02 13:58:22,677 | INFO | rag_app_2026-07-02_13-58-12 | fuzzy_corrected_question=events in documents from t120236
2026-07-02 13:58:22,677 | INFO | rag_app_2026-07-02_13-58-12 | raw_query_variants=['events in documents from t120236', 'what happened in 2023', 'events in 2023']
2026-07-02 13:58:22,679 | INFO | rag_app_2026-07-02_13-58-12 | filtered_query_variants=['what happened in 2023', 'events in 2023']
2026-07-02 13:58:22,776 | INFO | rag_app_2026-07-02_13-58-12 | multi_query_retrieval_time_seconds=0.0970
2026-07-02 13:58:22,776 | INFO | rag_app_2026-07-02_13-58-12 | normalized_question=what happened in 2023
2026-07-02 13:58:26,098 | INFO | rag_app_2026-07-02_13-58-12 | relevance=True
2026-07-02 13:58:27,742 | INFO | rag_app_2026-07-02_13-58-12 | retrieved_sources=[{'source': 'data\\2023_10_02T075900-9to5Linux_Weekly_Roundup_October_1st_2023.pdf', 'filename': '2023_10_02T075900-9to5Linux_Weekly_Roundup_October_1st_2023.pdf', 'chunk_index': 3}, {'source': 'data\\2023_08_23T221148-Kali_Linux_20233_Released_with_9_New_Tools_for_Ethical_Hacking_Linux_Kernel_63.pdf', 'filename': '2023_08_23T221148-Kali_Linux_20233_Released_with_9_New_Tools_for_Ethical_Hacking_Linux_Kernel_63.pdf', 'chunk_index': 0}, {'filename': '2023_09_25T024112-9to5Linux_Weekly_Roundup_September_24th_2023.pdf', 'source': 'data\\2023_09_25T024112-9to5Linux_Weekly_Roundup_September_24th_2023.pdf', 'chunk_index': 0}, {'filename': '2023_10_09T103945-9to5Linux_Weekly_Roundup_October_8th_2023.pdf', 'source': 'data\\2023_10_09T103945-9to5Linux_Weekly_Roundup_October_8th_2023.pdf', 'chunk_index': 3}]
2026-07-02 13:58:27,743 | INFO | rag_app_2026-07-02_13-58-12 | ASSISTANT: Kali Linux 2023.3 was released with updates to the kernel and various tools for ethical hacking. [Source 2]
2026-07-02 14:07:36,217 | INFO | rag_app_2026-07-02_13-58-12 | USER: exit
2026-07-02 14:07:36,218 | INFO | rag_app_2026-07-02_13-58-12 | route=control
2026-07-02 14:07:36,218 | INFO | rag_app_2026-07-02_13-58-12 | ASSISTANT: Goodbye.
2026-07-02 14:07:36,219 | INFO | rag_app_2026-07-02_13-58-12 | application_exit=true
